D/B,X/D,Y/D,unit wt,c,friction angle,poissons ratio,E,BC
2.392,1.246,2.0,13.78,158.7,8,0.4,19872,70.862
2.392,1.246,2.0,13.78,158.7,8,0.22,19872,70.847
2.392,0.4,2.0,13.78,158.7,8,0.39,19872,31.722
2.392,1.246,2.0,13.78,158.7,8,0.31,19872,70.846
2.392,-1.8,2.0,13.78,158.7,8,0.39,19872,81.646
2.392,1.246,1.8,13.78,158.7,8,0.39,19872,88.138
2.392,-2.1,2.0,13.78,158.7,8,0.39,19872,86.931
2.392,1.246,2.3,13.78,158.7,8,0.39,19872,90.207
2.392,0.9,2.0,13.78,158.7,8,0.39,19872,50.631
2.392,1.246,2.0,18.25,158.7,8,0.39,19872,70.792
2.392,2.8,2.0,13.78,158.7,8,0.39,19872,90.444
2.392,1.246,2.0,13.78,158.7,23,0.39,19872,104.445
0.9,1.246,2.0,13.78,158.7,8,0.39,19872,86.313
2.392,1.246,2.0,13.78,158.7,25,0.39,19872,111.159
2.392,1.246,2.0,13.78,158.7,30,0.39,19872,107.505
2.392,1.246,2.0,13.78,158.7,14,0.39,19872,96.419
2.392,1.246,2.0,13.78,158.7,8,0.39,69000,70.847
2.392,1.4,2.0,13.78,158.7,8,0.39,19872,71.508
2.392,1.246,0.7,13.78,158.7,8,0.39,19872,38.529
2.392,1.246,2.0,13.78,132.0,8,0.39,19872,58.916
2.392,1.246,2.0,13.78,264.0,8,0.39,19872,117.891
2.392,0.1,2.0,13.78,158.7,8,0.39,19872,26.5399
2.392,-2.6,2.0,13.78,158.7,8,0.39,19872,90.198
2.392,1.246,2.0,13.78,158.7,8,0.39,36000,70.847
2.392,-0.8,2.0,13.78,158.7,8,0.39,19872,45.247
2.392,1.246,2.0,13.78,204.0,8,0.39,19872,91.088
2.392,1.246,2.0,17.5,158.7,8,0.39,19872,70.802
2.392,1.246,2.0,13.78,36.0,8,0.39,19872,16.021
2.392,1.246,2.0,13.78,158.7,8,0.39,63000,70.847
1.0,1.246,2.0,13.78,158.7,8,0.39,19872,83.462
2.1,1.246,2.0,13.78,158.7,8,0.39,19872,69.145
2.392,-1.5,2.0,13.78,158.7,8,0.39,19872,74.717
2.392,1.6,2.0,13.78,158.7,8,0.39,19872,77.696
2.392,1.246,2.0,13.78,158.7,10,0.39,19872,87.057
2.2,1.246,2.0,13.78,158.7,8,0.39,19872,67.927
0.7,1.246,2.0,13.78,158.7,8,0.39,19872,88.926
2.392,1.246,2.0,13.78,158.7,8,0.39,3000,70.847
2.392,1.246,2.0,13.78,240.0,8,0.39,19872,107.168
2.392,1.246,2.0,13.78,158.7,8,0.39,93000,70.847
2.392,1.246,2.0,13.78,158.7,8,0.39,45000,70.847
2.392,2.3,2.0,13.78,158.7,8,0.39,19872,90.439
2.392,0.5,2.0,13.78,158.7,8,0.39,19872,34.394
2.392,2.5,2.0,13.78,158.7,8,0.39,19872,91.371
2.392,1.246,1.2,13.78,158.7,8,0.39,19872,62.527
2.392,1.246,2.0,13.78,96.0,8,0.39,19872,42.839
2.392,1.246,1.4,13.78,158.7,8,0.39,19872,70.777
2.3,1.246,2.0,13.78,158.7,8,0.39,19872,66.674
2.392,1.246,2.0,13.78,84.0,8,0.39,19872,37.476
2.392,1.246,2.0,13.78,158.7,8,0.39,24000,70.847
2.392,1.246,2.0,20.5,158.7,8,0.39,19872,70.768
