D/B,X/D,Y/D,unit wt,c,phi,poissons ratio,E,B.C,Settlement
0,1.246,2,13.78,158.7,8,0.39,19872,91.336,61.2
0.1,1.246,2,13.78,158.7,8,0.39,19872,94.129,46.13
0.2,1.246,2,13.78,158.7,8,0.39,19872,94.055,77.27
0.3,1.246,2,13.78,158.7,8,0.39,19872,93.824,67.12
0.4,1.246,2,13.78,158.7,8,0.39,19872,91.093,77
0.5,1.246,2,13.78,158.7,8,0.39,19872,92.701,87
0.6,1.246,2,13.78,158.7,8,0.39,19872,90.941,56.76
0.7,1.246,2,13.78,158.7,8,0.39,19872,88.926,120.42
0.8,1.246,2,13.78,158.7,8,0.39,19872,88.228,112.5
0.9,1.246,2,13.78,158.7,8,0.39,19872,86.313,64.63
1,1.246,2,13.78,158.7,8,0.39,19872,83.462,52.42
1.1,1.246,2,13.78,158.7,8,0.39,19872,82.992,86.75
1.2,1.246,2,13.78,158.7,8,0.39,19872,80.547,61.33
1.3,1.246,2,13.78,158.7,8,0.39,19872,76.462,92.82
1.4,1.246,2,13.78,158.7,8,0.39,19872,76.889,73.09
1.5,1.246,2,13.78,158.7,8,0.39,19872,75.105,100.15
1.6,1.246,2,13.78,158.7,8,0.39,19872,76.097,68.16
1.7,1.246,2,13.78,158.7,8,0.39,19872,75.391,68.05
1.8,1.246,2,13.78,158.7,8,0.39,19872,72.074,60.16
1.9,1.246,2,13.78,158.7,8,0.39,19872,70.946,53.15
2,1.246,2,13.78,158.7,8,0.39,19872,70.549,60.1
2.1,1.246,2,13.78,158.7,8,0.39,19872,69.145,32.21
2.2,1.246,2,13.78,158.7,8,0.39,19872,67.927,25.94
2.3,1.246,2,13.78,158.7,8,0.39,19872,66.674,31.74
2.4,1.246,2,13.78,158.7,8,0.39,19872,64.986,55.83
2.5,1.246,2,13.78,158.7,8,0.39,19872,65.823,32.85
2.6,1.246,2,13.78,158.7,8,0.39,19872,63.533,58.25
2.7,1.246,2,13.78,158.7,8,0.39,19872,62.349,31.54
2.8,1.246,2,13.78,158.7,8,0.39,19872,59.358,33.12
2.9,1.246,2,13.78,158.7,8,0.39,19872,58.96,43.09
3,1.246,2,13.78,158.7,8,0.39,19872,59.135,21.82
2.392,0,2,13.78,158.7,8,0.39,19872,26.148,21.948
2.392,0.1,2,13.78,158.7,8,0.39,19872,26.5399,25.26
2.392,0.2,2,13.78,158.7,8,0.39,19872,27.625,22.29
2.392,0.3,2,13.78,158.7,8,0.39,19872,28.999,9.03
2.392,0.4,2,13.78,158.7,8,0.39,19872,31.722,16.42
2.392,0.5,2,13.78,158.7,8,0.39,19872,34.394,14.49
2.392,0.6,2,13.78,158.7,8,0.39,19872,37.269,15.92
2.392,0.7,2,13.78,158.7,8,0.39,19872,41.209,38.39
2.392,0.8,2,13.78,158.7,8,0.39,19872,45.247,61.06
2.392,0.9,2,13.78,158.7,8,0.39,19872,50.631,31.65
2.392,1,2,13.78,158.7,8,0.39,19872,54.787,30.889
2.392,1.1,2,13.78,158.7,8,0.39,19872,59.376,28.06
2.392,1.2,2,13.78,158.7,8,0.39,19872,64.194,31.72
2.392,1.3,2,13.78,158.7,8,0.39,19872,69.177,57.32
2.392,1.4,2,13.78,158.7,8,0.39,19872,71.508,29.26
2.392,1.5,2,13.78,158.7,8,0.39,19872,74.717,39.89
2.392,1.6,2,13.78,158.7,8,0.39,19872,77.696,36.97
2.392,1.7,2,13.78,158.7,8,0.39,19872,80.174,55.68
2.392,1.8,2,13.78,158.7,8,0.39,19872,81.646,31.62
2.392,1.9,2,13.78,158.7,8,0.39,19872,84.002,36.58
2.392,2,2,13.78,158.7,8,0.39,19872,85.593,42.165
2.392,2.1,2,13.78,158.7,8,0.39,19872,86.931,52.9
2.392,2.2,2,13.78,158.7,8,0.39,19872,90.246,43.38
2.392,2.3,2,13.78,158.7,8,0.39,19872,90.439,49.68
2.392,2.4,2,13.78,158.7,8,0.39,19872,90.992,77.62
2.392,2.5,2,13.78,158.7,8,0.39,19872,91.371,67.22
2.392,2.6,2,13.78,158.7,8,0.39,19872,90.198,50.76
2.392,2.7,2,13.78,158.7,8,0.39,19872,91.114,55.07
2.392,2.8,2,13.78,158.7,8,0.39,19872,90.444,47.65
2.392,2.9,2,13.78,158.7,8,0.39,19872,90.459,61.52
2.392,3,2,13.78,158.7,8,0.39,19872,90.425,69.47
2.392,-0.1,2,13.78,158.7,8,0.39,19872,26.5399,25.26
2.392,-0.2,2,13.78,158.7,8,0.39,19872,27.625,22.29
2.392,-0.3,2,13.78,158.7,8,0.39,19872,28.999,9.03
2.392,-0.4,2,13.78,158.7,8,0.39,19872,31.722,16.42
2.392,-0.5,2,13.78,158.7,8,0.39,19872,34.394,14.49
2.392,-0.6,2,13.78,158.7,8,0.39,19872,37.269,15.92
2.392,-0.7,2,13.78,158.7,8,0.39,19872,41.209,38.39
2.392,-0.8,2,13.78,158.7,8,0.39,19872,45.247,61.06
2.392,-0.9,2,13.78,158.7,8,0.39,19872,50.631,31.65
2.392,-1,2,13.78,158.7,8,0.39,19872,54.787,30.889
2.392,-1.1,2,13.78,158.7,8,0.39,19872,59.376,28.06
2.392,-1.2,2,13.78,158.7,8,0.39,19872,64.194,31.72
2.392,-1.3,2,13.78,158.7,8,0.39,19872,69.177,57.32
2.392,-1.4,2,13.78,158.7,8,0.39,19872,71.508,29.26
2.392,-1.5,2,13.78,158.7,8,0.39,19872,74.717,39.89
2.392,-1.6,2,13.78,158.7,8,0.39,19872,77.696,36.97
2.392,-1.7,2,13.78,158.7,8,0.39,19872,80.174,55.68
2.392,-1.8,2,13.78,158.7,8,0.39,19872,81.646,31.62
2.392,-1.9,2,13.78,158.7,8,0.39,19872,84.002,36.58
2.392,-2,2,13.78,158.7,8,0.39,19872,85.593,42.165
2.392,-2.1,2,13.78,158.7,8,0.39,19872,86.931,52.9
2.392,-2.2,2,13.78,158.7,8,0.39,19872,90.246,43.38
2.392,-2.3,2,13.78,158.7,8,0.39,19872,90.439,49.68
2.392,-2.4,2,13.78,158.7,8,0.39,19872,90.992,77.62
2.392,-2.5,2,13.78,158.7,8,0.39,19872,91.371,67.22
2.392,-2.6,2,13.78,158.7,8,0.39,19872,90.198,50.76
2.392,-2.7,2,13.78,158.7,8,0.39,19872,91.114,55.07
2.392,-2.8,2,13.78,158.7,8,0.39,19872,90.444,47.65
2.392,-2.9,2,13.78,158.7,8,0.39,19872,90.459,61.52
2.392,-3,2,13.78,158.7,8,0.39,19872,90.425,69.47
2.392,1.246,0,13.78,158.7,8,0.39,19872,4.766,0.67
2.392,1.246,0.1,13.78,158.7,8,0.39,19872,12.109,4.66
2.392,1.246,0.2,13.78,158.7,8,0.39,19872,16.418,5.23
2.392,1.246,0.3,13.78,158.7,8,0.39,19872,20.801,6.38
2.392,1.246,0.4,13.78,158.7,8,0.39,19872,25.367,10.58
2.392,1.246,0.5,13.78,158.7,8,0.39,19872,29.651,11.02
2.392,1.246,0.6,13.78,158.7,8,0.39,19872,34.109,9.67
2.392,1.246,0.7,13.78,158.7,8,0.39,19872,38.529,6.88
2.392,1.246,0.8,13.78,158.7,8,0.39,19872,43.616,7.01
2.392,1.246,0.9,13.78,158.7,8,0.39,19872,48.143,14.2
2.392,1.246,1,13.78,158.7,8,0.39,19872,52.211,17.23
2.392,1.246,1.1,13.78,158.7,8,0.39,19872,55.957,12.56
2.392,1.246,1.2,13.78,158.7,8,0.39,19872,62.527,20.23
2.392,1.246,1.3,13.78,158.7,8,0.39,19872,66.526,28.23
2.392,1.246,1.4,13.78,158.7,8,0.39,19872,70.777,28.67
2.392,1.246,1.5,13.78,158.7,8,0.39,19872,76.053,53.03
2.392,1.246,1.6,13.78,158.7,8,0.39,19872,80.074,55.86
2.392,1.246,1.7,13.78,158.7,8,0.39,19872,84.745,57.74
2.392,1.246,1.8,13.78,158.7,8,0.39,19872,88.138,70.22
2.392,1.246,1.9,13.78,158.7,8,0.39,19872,90.671,136.46
2.392,1.246,2,13.78,158.7,8,0.39,19872,90.656,70.25
2.392,1.246,2.1,13.78,158.7,8,0.39,19872,90.754,58.56
2.392,1.246,2.2,13.78,158.7,8,0.39,19872,90.792,40.32
2.392,1.246,2.3,13.78,158.7,8,0.39,19872,90.207,29.17
2.392,1.246,2.4,13.78,158.7,8,0.39,19872,90.589,28.23
2.392,1.246,2.5,13.78,158.7,8,0.39,19872,90.698,28.44
2.392,1.246,2.6,13.78,158.7,8,0.39,19872,94.243,31.72
2.392,1.246,2.7,13.78,158.7,8,0.39,19872,89.586,28.56
2.392,1.246,2.8,13.78,158.7,8,0.39,19872,89.956,35.64
2.392,1.246,2.9,13.78,158.7,8,0.39,19872,89.933,33.17
2.392,1.246,3,13.78,158.7,8,0.39,19872,90.309,20.13
2.392,1.246,2,13.78,12,8,0.39,19872,5.2894,1.46
2.392,1.246,2,13.78,24,8,0.39,19872,10.649,2.23
2.392,1.246,2,13.78,36,8,0.39,19872,16.021,11.26
2.392,1.246,2,13.78,48,8,0.39,19872,21.385,14.58
2.392,1.246,2,13.78,60,8,0.39,19872,26.749,22.86
2.392,1.246,2,13.78,72,8,0.39,19872,32.1125,34.11
2.392,1.246,2,13.78,84,8,0.39,19872,37.476,36.49
2.392,1.246,2,13.78,96,8,0.39,19872,42.839,36.99
2.392,1.246,2,13.78,108,8,0.39,19872,48.203,26.31
2.392,1.246,2,13.78,120,8,0.39,19872,53.554,22.83
2.392,1.246,2,13.78,132,8,0.39,19872,58.916,26.33
2.392,1.246,2,13.78,144,8,0.39,19872,64.278,22.74
2.392,1.246,2,13.78,156,8,0.39,19872,69.64,25.36
2.392,1.246,2,13.78,168,8,0.39,19872,75.002,25.88
2.392,1.246,2,13.78,180,8,0.39,19872,80.364,25.39
2.392,1.246,2,13.78,192,8,0.39,19872,85.727,26.3
2.392,1.246,2,13.78,204,8,0.39,19872,91.088,26.56
2.392,1.246,2,13.78,216,8,0.39,19872,96.45,35.15
2.392,1.246,2,13.78,228,8,0.39,19872,101.813,32.84
2.392,1.246,2,13.78,240,8,0.39,19872,107.168,26.47
2.392,1.246,2,13.78,252,8,0.39,19872,112.539,44.52
2.392,1.246,2,13.78,264,8,0.39,19872,117.891,30.96
2.392,1.246,2,13.78,276,8,0.39,19872,123.252,34.84
2.392,1.246,2,13.78,288,8,0.39,19872,128.614,50.84
2.392,1.246,2,13.78,300,8,0.39,19872,133.976,49.94
2.392,1.246,2,13.78,312,8,0.39,19872,139.338,47.29
2.392,1.246,2,13.78,324,8,0.39,19872,144.699,48.02
2.392,1.246,2,13.78,336,8,0.39,19872,150.062,54
2.392,1.246,2,13.78,348,8,0.39,19872,155.427,42.64
2.392,1.246,2,13.78,360,8,0.39,19872,160.786,44.65
2.392,1.246,2,13.78,158.7,0,0.39,19872,15.334,0.9
2.392,1.246,2,13.78,158.7,1,0.39,19872,54.885,18.36
2.392,1.246,2,13.78,158.7,2,0.39,19872,56.869,24.02
2.392,1.246,2,13.78,158.7,3,0.39,19872,70.707,24.65
2.392,1.246,2,13.78,158.7,4,0.39,19872,72.839,27.74
2.392,1.246,2,13.78,158.7,5,0.39,19872,75.041,25
2.392,1.246,2,13.78,158.7,6,0.39,19872,77.306,27.47
2.392,1.246,2,13.78,158.7,7,0.39,19872,79.641,34.38
2.392,1.246,2,13.78,158.7,8,0.39,19872,82.053,31.52
2.392,1.246,2,13.78,158.7,9,0.39,19872,84.532,28.52
2.392,1.246,2,13.78,158.7,10,0.39,19872,87.057,37.33
2.392,1.246,2,13.78,158.7,11,0.39,19872,89.649,39.74
2.392,1.246,2,13.78,158.7,12,0.39,19872,91.443,26.16
2.392,1.246,2,13.78,158.7,13,0.39,19872,94.518,27.37
2.392,1.246,2,13.78,158.7,14,0.39,19872,96.419,19.37
2.392,1.246,2,13.78,158.7,15,0.39,19872,99.004,19.75
2.392,1.246,2,13.78,158.7,16,0.39,19872,100.947,18.14
2.392,1.246,2,13.78,158.7,17,0.39,19872,99.052,16.13
2.392,1.246,2,13.78,158.7,18,0.39,19872,100.958,14.16
2.392,1.246,2,13.78,158.7,19,0.39,19872,101.988,14.12
2.392,1.246,2,13.78,158.7,20,0.39,19872,99.572,11.06
2.392,1.246,2,13.78,158.7,21,0.39,19872,104.608,10.03
2.392,1.246,2,13.78,158.7,22,0.39,19872,100.359,9.23
2.392,1.246,2,13.78,158.7,23,0.39,19872,104.445,9.01
2.392,1.246,2,13.78,158.7,24,0.39,19872,103.411,8.79
2.392,1.246,2,13.78,158.7,25,0.39,19872,111.159,8.61
2.392,1.246,2,13.78,158.7,26,0.39,19872,109.788,7.82
2.392,1.246,2,13.78,158.7,27,0.39,19872,116.209,6.87
2.392,1.246,2,13.78,158.7,28,0.39,19872,114.853,6.37
2.392,1.246,2,13.78,158.7,29,0.39,19872,119.039,6.3
2.392,1.246,2,13.78,158.7,30,0.39,19872,107.505,6.01
2.392,1.246,2,13.78,158.7,8,0.15,19872,70.835,31.71
2.392,1.246,2,13.78,158.7,8,0.16,19872,70.845,44.48
2.392,1.246,2,13.78,158.7,8,0.17,19872,70.848,52.31
2.392,1.246,2,13.78,158.7,8,0.18,19872,70.85566667,56.54
2.392,1.246,2,13.78,158.7,8,0.19,19872,70.846,44.29
2.392,1.246,2,13.78,158.7,8,0.2,19872,70.847,43.08
2.392,1.246,2,13.78,158.7,8,0.21,19872,70.843,40.89
2.392,1.246,2,13.78,158.7,8,0.22,19872,70.847,45.86
2.392,1.246,2,13.78,158.7,8,0.23,19872,70.843,39.05
2.392,1.246,2,13.78,158.7,8,0.24,19872,70.848,35.53
2.392,1.246,2,13.78,158.7,8,0.25,19872,70.851,39.78
2.392,1.246,2,13.78,158.7,8,0.26,19872,70.845,35.9
2.392,1.246,2,13.78,158.7,8,0.27,19872,70.847,34.6
2.392,1.246,2,13.78,158.7,8,0.28,19872,70.845,39
2.392,1.246,2,13.78,158.7,8,0.29,19872,70.791,27.21
2.392,1.246,2,13.78,158.7,8,0.3,19872,70.845,41.08
2.392,1.246,2,13.78,158.7,8,0.31,19872,70.846,38.28
2.392,1.246,2,13.78,158.7,8,0.32,19872,70.846,32.54
2.392,1.246,2,13.78,158.7,8,0.33,19872,70.846,31.26
2.392,1.246,2,13.78,158.7,8,0.34,19872,70.851,32.5
2.392,1.246,2,13.78,158.7,8,0.35,19872,70.864,47.47
2.392,1.246,2,13.78,158.7,8,0.36,19872,70.846,34.47
2.392,1.246,2,13.78,158.7,8,0.37,19872,70.846,33.14
2.392,1.246,2,13.78,158.7,8,0.38,19872,70.847,27
2.392,1.246,2,13.78,158.7,8,0.39,19872,70.847,25.76
2.392,1.246,2,13.78,158.7,8,0.4,19872,70.862,32.75
2.392,1.246,2,13.5,158.7,8,0.39,19872,70.85,24.95
2.392,1.246,2,13.75,158.7,8,0.39,19872,70.847,24.18
2.392,1.246,2,14,158.7,8,0.39,19872,70.844,31.31
2.392,1.246,2,14.25,158.7,8,0.39,19872,70.841,36.26
2.392,1.246,2,14.5,158.7,8,0.39,19872,70.838,36.29
2.392,1.246,2,14.75,158.7,8,0.39,19872,70.835,31.58
2.392,1.246,2,15,158.7,8,0.39,19872,70.832,44.98
2.392,1.246,2,15.25,158.7,8,0.39,19872,70.829,45.2
2.392,1.246,2,15.5,158.7,8,0.39,19872,70.826,44.28
2.392,1.246,2,15.75,158.7,8,0.39,19872,70.823,30.9
2.392,1.246,2,16,158.7,8,0.39,19872,70.837,35.7
2.392,1.246,2,16.25,158.7,8,0.39,19872,70.816,33.35
2.392,1.246,2,16.5,158.7,8,0.39,19872,70.831,49.98
2.392,1.246,2,16.75,158.7,8,0.39,19872,70.826,49.98
2.392,1.246,2,17,158.7,8,0.39,19872,70.808,30.25
2.392,1.246,2,17.25,158.7,8,0.39,19872,70.804,36.64
2.392,1.246,2,17.5,158.7,8,0.39,19872,70.802,37.24
2.392,1.246,2,17.75,158.7,8,0.39,19872,70.799,43
2.392,1.246,2,18,158.7,8,0.39,19872,70.813,44.28
2.392,1.246,2,18.25,158.7,8,0.39,19872,70.792,45.91
2.392,1.246,2,18.5,158.7,8,0.39,19872,70.807,52.28
2.392,1.246,2,18.75,158.7,8,0.39,19872,70.801,53.27
2.392,1.246,2,19,158.7,8,0.39,19872,70.786,43.18
2.392,1.246,2,19.25,158.7,8,0.39,19872,70.795,49.86
2.392,1.246,2,19.5,158.7,8,0.39,19872,70.78,40.46
2.392,1.246,2,19.75,158.7,8,0.39,19872,70.777,46.02
2.392,1.246,2,20,158.7,8,0.39,19872,70.774,46.11
2.392,1.246,2,20.25,158.7,8,0.39,19872,70.771,44.95
2.392,1.246,2,20.5,158.7,8,0.39,19872,70.768,29.15
2.392,1.246,2,20.75,158.7,8,0.39,19872,70.764,35.21
2.392,1.246,2,21,158.7,8,0.39,19872,70.761,46.46
2.392,1.246,2,13.78,158.7,8,0.39,3000,70.847,145.22
2.392,1.246,2,13.78,158.7,8,0.39,6000,70.846,113.05
2.392,1.246,2,13.78,158.7,8,0.39,9000,70.847,85.87
2.392,1.246,2,13.78,158.7,8,0.39,12000,70.847,65.98
2.392,1.246,2,13.78,158.7,8,0.39,15000,70.846,61.25
2.392,1.246,2,13.78,158.7,8,0.39,18000,70.847,52.99
2.392,1.246,2,13.78,158.7,8,0.39,21000,70.847,44.51
2.392,1.246,2,13.78,158.7,8,0.39,24000,70.847,36.65
2.392,1.246,2,13.78,158.7,8,0.39,27000,70.847,36.83
2.392,1.246,2,13.78,158.7,8,0.39,30000,70.847,33.56
2.392,1.246,2,13.78,158.7,8,0.39,33000,70.847,32.56
2.392,1.246,2,13.78,158.7,8,0.39,36000,70.847,32.21
2.392,1.246,2,13.78,158.7,8,0.39,39000,70.846,31.98
2.392,1.246,2,13.78,158.7,8,0.39,42000,70.847,31.55
2.392,1.246,2,13.78,158.7,8,0.39,45000,70.847,31.74
2.392,1.246,2,13.78,158.7,8,0.39,48000,70.847,30.56
2.392,1.246,2,13.78,158.7,8,0.39,51000,70.847,31.26
2.392,1.246,2,13.78,158.7,8,0.39,54000,70.847,31
2.392,1.246,2,13.78,158.7,8,0.39,57000,70.846,30.98
2.392,1.246,2,13.78,158.7,8,0.39,60000,70.847,31.22
2.392,1.246,2,13.78,158.7,8,0.39,63000,70.847,32
2.392,1.246,2,13.78,158.7,8,0.39,66000,70.847,31.98
2.392,1.246,2,13.78,158.7,8,0.39,69000,70.847,40.25
2.392,1.246,2,13.78,158.7,8,0.39,72000,70.847,41.52
2.392,1.246,2,13.78,158.7,8,0.39,75000,70.847,30.56
2.392,1.246,2,13.78,158.7,8,0.39,78000,70.847,21.89
2.392,1.246,2,13.78,158.7,8,0.39,81000,70.846,35.65
2.392,1.246,2,13.78,158.7,8,0.39,84000,70.847,39.25
2.392,1.246,2,13.78,158.7,8,0.39,87000,70.847,40.21
2.392,1.246,2,13.78,158.7,8,0.39,90000,70.846,38.98
2.392,1.246,2,13.78,158.7,8,0.39,93000,70.847,32.25
